class,x,y
1,0.553854804188132,0.769161496645783
1,0.551951697901754,0.76709413323908
1,0.550674107387423,0.770705827672911
1,0.554575840298534,0.767539261180706
1,0.551319544096499,0.769575235581195
1,0.54983256214577,0.768338741476008
1,0.555632375044223,0.770184377487643
1,0.552778394349321,0.769885008672361
1,0.549646873922082,0.764731981712112
1,0.561784205481445,0.767052335133269
1,0.563699533437543,0.767091468983157
1,0.561816383907502,0.769086535083819
1,0.572605665599403,0.763328009716168
1,0.575739764476215,0.760540024019599
1,0.573024716531885,0.756816325675145
1,0.58078303331612,0.7550659221824
1,0.58146071272083,0.755624181885041
1,0.580951029922117,0.757235710319711
1,0.584167945315274,0.748675222661927
1,0.582343729536602,0.744288338131967
1,0.581273047868091,0.748962274700016
1,0.588688554696415,0.736804352397118
1,0.585930165644507,0.73846028281342
1,0.592080607375285,0.736197526007316
1,0.5971544199849,0.719863497104862
1,0.596840341457982,0.724717030052989
1,0.595363784864329,0.721549873763772
1,0.599479960675548,0.701894647795167
1,0.600257321625976,0.701152104132567
1,0.598141513281881,0.705146605481313
1,0.605333349460136,0.686841563584993
1,0.600400189529617,0.690116830633421
1,0.599871006563032,0.688927412678308
1,0.608271382721644,0.670206105829191
1,0.604876357790353,0.671332900393506
1,0.606290583893804,0.673646102308832
1,0.611189219876066,0.656090011268703
1,0.608492433045638,0.658462416309652
1,0.607053093081263,0.655808615402142
1,0.608388914076543,0.633851223686989
1,0.608328805047137,0.633375175956898
1,0.611551603519078,0.636086381746694
1,0.612489092033911,0.611177371782774
1,0.611267522701338,0.611886110790603
1,0.612769948950916,0.614936206460044
1,0.613927820204879,0.597158298400585
1,0.609148866735746,0.590371767901956
1,0.610847234310962,0.592877709165135
1,0.612127139721069,0.576487735273233
1,0.61238255285038,0.578451774683968
1,0.611526319975554,0.578990889335037
1,0.614455376440856,0.559247567049145
1,0.605876656154621,0.561612111398526
1,0.61054846367884,0.55760259401351
1,0.611102223670207,0.536972204896936
1,0.609247674815144,0.540533574597343
1,0.603265661350853,0.539376978881319
1,0.602028064689764,0.516484089993076
1,0.595582877471479,0.512822272508125
1,0.600818204819831,0.516188620410105
1,0.600159075466171,0.499552813295291
1,0.591615102928236,0.498496742128673
1,0.598257030346106,0.501188635450766
1,0.58195043595278,0.476322152932687
1,0.585988208909386,0.475161470502927
1,0.587715544545465,0.477446469242623
1,0.575631115071781,0.45627793627542
1,0.575487728554797,0.461070136708128
1,0.575625080322696,0.457041507829849
1,0.561849642958724,0.440723347719452
1,0.561083454016792,0.438760234503714
1,0.563800821922741,0.43881653264888
1,0.543416720575252,0.424776013239349
1,0.546391373302831,0.423474028914293
1,0.547201751696514,0.422085856026635
